country_short,website,fax_stg,group,name,twitter,Vice-Chair/0,url,country,image,email,Member/0,Member/1,group_short,score,facebook,tel_stg,party,tel_bxl,id,Substitute/0,Substitute/1,fax_bxl,Substitute/2,Substitute/3,Member/2,Member/3,Substitute/4,Member/4,Chair/0,Member/5,Substitute/5,Vice-Chair/1,Member/6,Member/7,Member/8,Member/9,Member/10,fax_optout,Substitute/6
se,,+33388179155,Group of the European People's Party (Christian Democrats),Lars ADAKTUSSON,Ladaktusson,D-AF,http://www.europarl.europa.eu/meps/en/124990/LARS_ADAKTUSSON_home.html,Sweden,http://www.europarl.europa.eu/mepphoto/124990.jpg,lars.adaktusson@europarl.europa.eu,AFET,DROI,epp,0.4,https://sv-se.facebook.com/adaktusson,+33388175155,Kristdemokraterna,+3222845155,124990,TRAN,DSEE,+3222849155,,,,,,,,,,,,,,,,,
it,http://www.adinolfi.eu.org,+33388179714,Europe of Freedom and Direct Democracy Group,Isabella ADINOLFI,Isa_Adinolfi,,http://www.europarl.europa.eu/meps/en/124831/ISABELLA_ADINOLFI_home.html,Italy,http://www.europarl.europa.eu/mepphoto/124831.jpg,isabella.adinolfi@europarl.europa.eu,CULT,DACP,efd,0.5,http://www.facebook.com/adinolfiisabella,+33388175714,Movimento 5 Stelle,+3222845714,124831,IMCO,REGI,+3222849714,AFCO,D-US,,,,,,,,,,,,,,,
it,http://www.marcoaffronte.it/,+33388179711,Europe of Freedom and Direct Democracy Group,Marco AFFRONTE,marcoaffronte,,http://www.europarl.europa.eu/meps/en/124797/MARCO_AFFRONTE_home.html,Italy,http://www.europarl.europa.eu/mepphoto/124797.jpg,marco.affronte@europarl.europa.eu,ENVI,PECH,efd,0.35,,+33388175711,Movimento 5 Stelle,+3222845711,124797,PETI,D-ME,+3222849711,D-BR,,D-TR,D-AL,,,,,,,,,,,,,
it,,+33388179546,Europe of Freedom and Direct Democracy Group,Laura AGEA,,,http://www.europarl.europa.eu/meps/en/124811/LAURA_AGEA_home.html,Italy,http://www.europarl.europa.eu/mepphoto/124811.jpg,laura.agea@europarl.europa.eu,EMPL,DPLC,efd,0.35,,+33388175546,Movimento 5 Stelle,+3222845546,124811,LIBE,PETI,+3222849546,DSCA,D-CA,DACP,,DMED,,,,,,,,,,,,
gb,,+33388179404,Europe of Freedom and Direct Democracy Group,John Stuart AGNEW,,,http://www.europarl.europa.eu/meps/en/96897/JOHN+STUART_AGNEW_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/96897.jpg,johnstuart.agnew@europarl.europa.eu,AGRI,,efd,0.35,,+33388175404,United Kingdom Independence Party,+3222845404,96897,,,+3222849404,,,,,,,,,,,,,,,,,
es,,+33388179783,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Clara Eugenia AGUILERA GARCÍA,ClaraAguilera7,AGRI,http://www.europarl.europa.eu/meps/en/125045/CLARA+EUGENIA_AGUILERA+GARCIA_home.html,Spain,http://www.europarl.europa.eu/mepphoto/125045.jpg,claraeugenia.aguileragarcia@europarl.europa.eu,PECH,DMER,sd,0.3,,+33388175783,Partido Socialista Obrero Español,+3222845783,125045,INTA,D-MX,+3222849783,,,,,,,,,,,,,,,,,
it,http://danielaaiuto.it/,+33388179422,Europe of Freedom and Direct Democracy Group,Daniela AIUTO,DanielaAiuto,,http://www.europarl.europa.eu/meps/en/124842/DANIELA_AIUTO_home.html,Italy,http://www.europarl.europa.eu/mepphoto/124842.jpg,daniela.aiuto@europarl.europa.eu,TRAN,FEMM,efd,0.35,,+33388175422,Movimento 5 Stelle,+3222845422,124842,EMPL,DEEA,+3222849422,,,D-TR,D-MD,,DEPA,,,,,,,,,,,
gb,,+33388179109,Europe of Freedom and Direct Democracy Group,Tim AKER,Tim_Aker,,http://www.europarl.europa.eu/meps/en/99650/TIM_AKER_home.html,United Kingdom,http://www.europarl.europa.eu/mepphoto/99650.jpg,tim.aker@europarl.europa.eu,PETI,,efd,0.35,,+33388175109,United Kingdom Independence Party,+3222845109,99650,EMPL,,+3222849109,,,,,,,,,,,,,,,,,
es,http://transparencia.eupv.org/,+33388179998,Confederal Group of the European United Left - Nordic Green Left,Marina ALBIOL GUZMÁN,MarinaAlbiol,DLAT,http://www.europarl.europa.eu/meps/en/125048/MARINA_ALBIOL+GUZMAN_home.html,Spain,http://www.europarl.europa.eu/mepphoto/125048.jpg,marina.albiol@europarl.europa.eu,PETI,,guengl,0.15,https://www.facebook.com/MarinaAlbiolGuzman,+33388175998,Izquierda Unida,+3222845998,125048,DEVE,LIBE,+3222849998,DCAM,,,,,,,,,,,,,,,,
de,http://www.janalbrecht.eu,+33388179060,Group of the Greens/European Free Alliance,Jan Philipp ALBRECHT,janalbrecht,LIBE,http://www.europarl.europa.eu/meps/en/96736/JAN+PHILIPP_ALBRECHT_home.html,Germany,http://www.europarl.europa.eu/mepphoto/96736.jpg,jan.albrecht@europarl.europa.eu,D-IL,,greensefa,0.3,https://www.facebook.com/#!/janphilippalbrecht,+33388175060,Bündnis 90/Die Grünen,+3222845060,96736,IMCO,DANZ,+3222849060,,,,,,,,,,,,,,,,,
