name,gender,score,emails,country,group,bxl building id,bxl building name,bxl floor,bxl office number,bxl fax,bxl phone1,bxl phone2,stg building id,stg building name,stg floor,stg office number,stg fax,stg phone1,stg phone2
Sonia ALFANO,F,56,sonia.alfano@europarl.europa.eu,Italy,ALDE,ASP,Altiero Spinelli,09,G269,+322 28 49598,+322 28 45598,+322 28 47598,WIC,Winston Churchill,M02,049,+333 88 1 79598,+333 88 1 75598,+333 88 1 77598
Nedzhmi ALI,M,,,Bulgaria,ALDE,,,,,,,,,,,,,,
Alexander ALVARO,M,65,alexander.alvaro@europarl.europa.eu,Germany,ALDE,ASP,Altiero Spinelli,10,G102,+322 28 49328,+322 28 45328,+322 28 47328,LOW,Louise Weiss,T12,047,+333 88 1 79328,+333 88 1 75328,+333 88 1 77328
Alfonso ANDRIA,M,,,Italy,ALDE,,,,,,,,,,,,,,
Liam AYLWARD,M,54,liam.aylward@europarl.europa.eu,Ireland,ALDE,ASP,Altiero Spinelli,10,G309,+322 28 49782,+322 28 45782,+322 28 47782,WIC,Winston Churchill,M02,035,+333 88 1 79782,+333 88 1 75782,+333 88 1 77782
Johannes Cornelis van BAALEN,M,59,hans.vanbaalen@europarl.europa.eu,Netherlands,ALDE,ASP,Altiero Spinelli,10,G306,+322 28 49615,+322 28 45615,+322 28 47615,WIC,Winston Churchill,M02,087,+333 88 1 79615,+333 88 1 75615,+333 88 1 77615
Tiberiu BĂRBULEŢIU,M,,,Romania,ALDE,,,,,,,,,,,,,,
Catherine BEARDER,F,63,catherine.bearder@europarl.europa.eu,United Kingdom,ALDE,ASP,Altiero Spinelli,10,G218,+322 28 49632,+322 28 45632,+322 28 47632,WIC,Winston Churchill,M02,006,+333 88 1 79632,+333 88 1 75632,+333 88 1 77632
Jean-Luc BENNAHMIAS,M,87,jean-luc.bennahmias@europarl.europa.eu,France,ALDE,ASP,Altiero Spinelli,09,G116,+322 28 49574,+322 28 45574,+322 28 47574,WIC,Winston Churchill,M02,074,+333 88 1 79574,+333 88 1 75574,+333 88 1 77574
Phil BENNION,M,59,phil.bennion@europarl.europa.eu,United Kingdom,ALDE,ASP,Altiero Spinelli,10,G258,+322 28 49521,+322 28 45521,+322 28 47521,WIC,Winston Churchill,M02,003,+333 88 1 79521,+333 88 1 75521,+333 88 1 77521
