name,gender,score,emails,country,group,bxl building id,bxl building name,bxl floor,bxl office number,bxl fax,bxl phone1,bxl phone2,stg building id,stg building name,stg floor,stg office number,stg fax,stg phone1,stg phone2
Marta ANDREASEN,F,61,marta.andreasen@europarl.europa.eu,United Kingdom,ECR,ASP,Altiero Spinelli,04,F154,+322 28 49726,+322 28 45726,+322 28 47726,LOW,Louise Weiss,T06,086,+333 88 1 79726,+333 88 1 75726,+333 88 1 77726
Richard ASHWORTH,M,36,richard.ashworth@europarl.europa.eu - richardjames.ashworth@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,06,M105,+322 28 49309,+322 28 45309,+322 28 47309,LOW,Louise Weiss,T11,028,+333 88 1 79309,+333 88 1 75309,+333 88 1 77309
Sir Robert ATKINS,M,33,robert.atkins@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,06,M107,+322 28 49373,+322 28 45373,+322 28 47373,LOW,Louise Weiss,T11,030,+333 88 1 79373,+333 88 1 75373,+333 88 1 77373
Adam BIELAN,M,60,adam.bielan@europarl.europa.eu,Poland,ECR,WIB,Willy Brandt,03,M081,+322 28 49925,+322 28 45925,+322 28 47925,LOW,Louise Weiss,T13,049,+333 88 1 79925,+333 88 1 75925,+333 88 1 77925
Lajos BOKROS,M,43,lajos.bokros@europarl.europa.eu,Hungary,ECR,WIB,Willy Brandt,04,M115,+322 28 49707,+322 28 45707,+322 28 47707,LOW,Louise Weiss,T11,093,+333 88 1 79707,+333 88 1 75707,+333 88 1 77707
Philip BRADBOURN,M,44,philip.bradbourn@europarl.europa.eu,United Kingdom,ECR,ASP,Altiero Spinelli,03,F370,+322 28 49407,+322 28 45407,+322 28 47407,LOW,Louise Weiss,T11,032,+333 88 1 79407,+333 88 1 75407,+333 88 1 77407
Milan CABRNOCH,M,43,milan.cabrnoch@europarl.europa.eu,Czech Republic,ECR,WIB,Willy Brandt,03,M083,+322 28 49378,+322 28 45378,+322 28 47378,LOW,Louise Weiss,T13,029,+333 88 1 79378,+333 88 1 75378,+333 88 1 77378
Martin CALLANAN,M,35,martin.callanan@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,06,M095,+322 28 49701,+322 28 45701,+322 28 47701,LOW,Louise Weiss,T06,055,+333 88 1 79701,+333 88 1 75701,+333 88 1 77701
David CAMPBELL BANNERMAN,M,53,david.campbellbannerman@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,03,M113,+322 28 49733,+322 28 45733,+322 28 47733,LOW,Louise Weiss,T11,018,+333 88 1 79733,+333 88 1 75733,+333 88 1 77733
Andrea ČEŠKOVÁ,F,45,andrea.ceskova@europarl.europa.eu,Czech Republic,ECR,WIB,Willy Brandt,03,M089,+322 28 49845,+322 28 45845,+322 28 47845,LOW,Louise Weiss,T13,031,+333 88 1 79845,+333 88 1 75845,+333 88 1 77845
Giles CHICHESTER,M,37,giles.chichester@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,06,M121,+322 28 49296,+322 28 45296,+322 28 47296,LOW,Louise Weiss,T11,036,+333 88 1 79296,+333 88 1 75296,+333 88 1 77296
Ryszard CZARNECKI,M,44,ryszard.czarnecki@europarl.europa.eu,Poland,ECR,WIB,Willy Brandt,02,M115,+322 28 49441,+322 28 45441,+322 28 47441,LOW,Louise Weiss,T13,051,+333 88 1 79441,+333 88 1 75441,+333 88 1 77441
Peter van DALEN,M,45,peter.vandalen@europarl.europa.eu,Netherlands,ECR,WIB,Willy Brandt,04,M121,+322 28 49719,+322 28 45719,+322 28 47719,LOW,Louise Weiss,T13,047,+333 88 1 79719,+333 88 1 75719,+333 88 1 77719
Nirj DEVA,M,42,nirj.deva@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,04,M099,+322 28 49245,+322 28 47245,+322 28 47245,LOW,Louise Weiss,T11,038,+333 88 1 79245,+333 88 1 77245,+333 88 1 77245
James ELLES,M,35,,United Kingdom,ECR,WIB,Willy Brandt,04,M091,+322 28 49951,+322 28 45951,+322 28 47951,LOW,Louise Weiss,T11,040,+333 88 1 79951,+333 88 1 75951,+333 88 1 77951
Derk Jan EPPINK,M,45,derkjan.eppink@europarl.europa.eu,Belgium,ECR,WIB,Willy Brandt,04,M113,+322 28 49859,+322 28 45859,+322 28 47859,LOW,Louise Weiss,T13,067,+333 88 1 79859,+333 88 1 75859,+333 88 1 77859
Hynek FAJMON,M,34,hynek.fajmon@europarl.europa.eu,Czech Republic,ECR,WIB,Willy Brandt,03,M091,+322 28 49806,+322 28 45806,+322 28 47806,LOW,Louise Weiss,T13,035,+333 88 1 79806,+333 88 1 75806,+333 88 1 77806
Vicky FORD,F,45,vicky.ford@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,05,M083,+322 28 49672,+322 28 45672,+322 28 47672,LOW,Louise Weiss,T11,042,+333 88 1 79672,+333 88 1 75672,+333 88 1 77672
Jacqueline FOSTER,F,45,jacqueline.foster@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,06,M113,+322 28 49674,+322 28 45674,+322 28 47674,LOW,Louise Weiss,T11,044,+333 88 1 79674,+333 88 1 75674,+333 88 1 77674
Ashley FOX,M,47,ashley.fox@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,05,M075,+322 28 49677,+322 28 45677,+322 28 47677,LOW,Louise Weiss,T11,046,+333 88 1 79677,+333 88 1 75677,+333 88 1 77677
Julie GIRLING,F,45,julie.girling@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,05,M091,+322 28 49678,+322 28 45678,+322 28 47678,LOW,Louise Weiss,T11,048,+333 88 1 79678,+333 88 1 75678,+333 88 1 77678
Marek Józef GRÓBARCZYK,M,54,marekjozef.grobarczyk@europarl.europa.eu,Poland,ECR,WIB,Willy Brandt,02,M073,+322 28 49864,+322 28 45864,+322 28 47864,LOW,Louise Weiss,T13,063,+333 88 1 79864,+333 88 1 75864,+333 88 1 77864
Daniel HANNAN,M,36,daniel.hannan@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,05,M089,+322 28 49137,+322 28 45137,+322 28 47137,LOW,Louise Weiss,T11,050,+333 88 1 79137,+333 88 1 75137,+333 88 1 77137
Malcolm HARBOUR,M,36,malcolm.harbour@europarl.europa.eu,United Kingdom,ECR,ASP,Altiero Spinelli,13,E130,+322 28 49132,+322 28 45132,+322 28 47132,LOW,Louise Weiss,T12,018,+333 88 1 79132,+333 88 1 75132,+333 88 1 77132
