name,gender,score,emails,country,group,bxl building id,bxl building name,bxl floor,bxl office number,bxl fax,bxl phone1,bxl phone2,stg building id,stg building name,stg floor,stg office number,stg fax,stg phone1,stg phone2
Uma AALTONEN,F,,,Finland,Greens/EFA,,,,,,,,,,,,,,
Maria Adelaide AGLIETTA,F,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Nuala AHERN,F,,,Ireland,Greens/EFA,,,,,,,,,,,,,,
Jan Philipp ALBRECHT,M,68,jan.albrecht@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,H246,+322 28 49060,+322 28 45060,+322 28 47060,LOW,Louise Weiss,T05,068,+333 88 1 79060,+333 88 1 75060,+333 88 1 77060
François ALFONSI,M,68,francois.alfonsi@europarl.europa.eu,France,Greens/EFA,ASP,Altiero Spinelli,08,H154,+322 28 49130,+322 28 45130,+322 28 47130,LOW,Louise Weiss,T05,084,+333 88 1 79130,+333 88 1 75130,+333 88 1 77130
Gianfranco AMENDOLA,M,,,Italy,Greens/EFA,,,,,,,,,,,,,,
Amelia ANDERSDOTTER,F,61,amelia.andersdotter@europarl.europa.eu - Amelia.andersdotter@europarl.europa.eu,Sweden,Greens/EFA,ASP,Altiero Spinelli,06,E264,+322 28 49922,+322 28 45922,+322 28 47922,LOW,Louise Weiss,T05,054,+333 88 1 79922,+333 88 1 75922,+333 88 1 77922
Aline ARCHIMBAUD,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Margrete AUKEN,F,90,margrete.auken@europarl.europa.eu,Denmark,Greens/EFA,ASP,Altiero Spinelli,08,H341,+322 28 49327,+322 28 45327,+322 28 47327,LOW,Louise Weiss,T05,058,+333 88 1 79327,+333 88 1 75327,+333 88 1 77327
Marie-Christine AULAS,F,,,France,Greens/EFA,,,,,,,,,,,,,,
Danielle AUROI,F,,dauroi@assemblee-nationale.fr,France,Greens/EFA,,,,,,,,,,,,,,
