"country_short","group","name","url","country","image","group_short","role","party","email"
"it","Group of the European People's Party (Christian Democrats)","Amalia Sartori","http://www.europarl.europa.eu/meps/en/4423/AMALIA_SARTORI.html","Italy","http://www.europarl.europa.eu/mepphoto/4423.jpg","epp","Chair","Forza Italia","amalia.sartori@europarl.europa.eu"
"it","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Patrizia Toia","http://www.europarl.europa.eu/meps/en/28340/PATRIZIA_TOIA.html","Italy","http://www.europarl.europa.eu/mepphoto/28340.jpg","sd","Vice-Chair","Partito Democratico","patrizia.toia@europarl.europa.eu"
"dk","Group of the Alliance of Liberals and Democrats for Europe","Jens Rohde","http://www.europarl.europa.eu/meps/en/96710/JENS_ROHDE.html","Denmark","http://www.europarl.europa.eu/mepphoto/96710.jpg","aldeadle","Vice-Chair","Venstre, Danmarks Liberale Parti","jens.rohde@europarl.europa.eu"
"gr","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Dimitrios Droutsas","http://www.europarl.europa.eu/meps/en/107977/DIMITRIOS_DROUTSAS.html","Greece","http://www.europarl.europa.eu/mepphoto/107977.jpg","sd","Vice-Chair","Panhellenic Socialist Movement","dimitrios.droutsas@europarl.europa.eu"
"cz","European Conservatives and Reformists Group","Evžen Tošenovský","http://www.europarl.europa.eu/meps/en/96713/EVZEN_TOSENOVSKY.html","Czech Republic","http://www.europarl.europa.eu/mepphoto/96713.jpg","ecr","Vice-Chair","Občanská demokratická strana","evzen.tosenovsky@europarl.europa.eu"
"se","Group of the Greens/European Free Alliance","Amelia Andersdotter","http://www.europarl.europa.eu/meps/en/108570/AMELIA_ANDERSDOTTER.html","Sweden","http://www.europarl.europa.eu/mepphoto/108570.jpg","greensefa","Member","Piratpartiet","amelia.andersdotter@europarl.europa.eu"
"es","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Josefa Andrés Barea","http://www.europarl.europa.eu/meps/en/96986/JOSEFA_ANDRES BAREA.html","Spain","http://www.europarl.europa.eu/mepphoto/96986.jpg","sd","Member","Partido Socialista Obrero Español","josefa.andresbarea@europarl.europa.eu"
"fr","Group of the European People's Party (Christian Democrats)","Jean-Pierre Audy","http://www.europarl.europa.eu/meps/en/33775/JEAN-PIERRE_AUDY.html","France","http://www.europarl.europa.eu/mepphoto/33775.jpg","epp","Member","Union pour un Mouvement Populaire","jean-pierre.audy@europarl.europa.eu"
"lt","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Zigmantas Balčytis","http://www.europarl.europa.eu/meps/en/96680/ZIGMANTAS_BALCYTIS.html","Lithuania","http://www.europarl.europa.eu/mepphoto/96680.jpg","sd","Member","Lietuvos socialdemokratų partija","zigmantas.balcytis@europarl.europa.eu"
"be","Group of the European People's Party (Christian Democrats)","Ivo Belet","http://www.europarl.europa.eu/meps/en/28257/IVO_BELET.html","Belgium","http://www.europarl.europa.eu/mepphoto/28257.jpg","epp","Member","Christen-Democratisch & Vlaams","ivo.belet@europarl.europa.eu"
